scenario,scale,architecture,regime,real_pct,synthetic_pct,seed,eval_domain,eval_dataset,metric,class,value,selected_seed,source_file
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AP_50,car,0.8111817666623657,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AP_75,car,0.5361436216296523,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AR_1,car,0.15809205976970025,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AR_10,car,0.5537626649830132,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AR_100,car,0.585601755810108,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AP_50_95,pedestrian,0.26657303924534725,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AP_50,pedestrian,0.5742868843442404,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AP_75,pedestrian,0.22128774298265422,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AR_1,pedestrian,0.17392227649182415,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AR_10,pedestrian,0.36332554682522833,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AR_100,pedestrian,0.40445954555107244,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AP_50_95,cyclist,0.014581062401000853,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AP_50,cyclist,0.07078534596630957,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AP_75,cyclist,0.00020712896083236305,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AR_1,cyclist,0.045912722802704364,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AR_10,cyclist,0.0844499078057775,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,hybrid_70_30,70,30,2,external,KITTI,AR_100,cyclist,0.08875230485556238,True,ADD\One-Stage\External\project\metrics_kitti\mixed\MIX_70_30_yolov8m_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AP_50_95,all,0.2612653921270521,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AP_50,all,0.48327146705436175,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AP_75,all,0.2579535322062229,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AR_1,all,0.1275946395324864,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AR_10,all,0.3458705578554651,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AR_100,all,0.3752875321242042,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AP_50_95,car,0.5038965541856849,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AP_50,car,0.8212552184762141,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AP_75,car,0.5473222889891808,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AR_1,car,0.15880761251916659,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AR_10,car,0.5624906046120081,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
ADD,large,YOLOv8m,real_only,100,0,2,external,KITTI,AR_100,car,0.5955262920537565,True,ADD\One-Stage\External\project\metrics_kitti\real\E1_yolov8m_real_seed2_kitti_eval\internal\metrics.json
