scenario,scale,architecture,regime,real_pct,synthetic_pct,eval_domain,eval_dataset,metric,class,mean,std,min,max,n
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50_95,cyclist,0.023449195167762404,0.000954164160467423,0.0223810788274378,0.0242172936288346,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_50_95,pedestrian,0.07203349172342927,0.001020905998267599,0.0708920025475853,0.0728591890586831,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_75,car,0.09573469548830323,0.001087461476920551,0.0944889312096823,0.0964940546783229,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_75,cyclist,0.0097909673622669,0.003305468148146922,0.007504392303865,0.0135809132666902,3
ADD,large,FasterRCNN,real_only,100,0,synthetic_internal,SYNTHIA,AP_75,pedestrian,0.04025494593004927,0.0006225339156200469,0.0395613031927388,0.0407651481140702,3
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50,car,0.33129119984528266,0.009687035891622911,0.3231573316948655,0.3420078561740378,3
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50,cyclist,0.06298551633039473,0.008896828391200883,0.0527123925327389,0.0681494826267925,3
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50,pedestrian,0.1509283929132293,0.010003483684345138,0.1393877095484408,0.1571220033379491,3
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50_95,car,0.16089382840613536,0.003497166522690371,0.1582902916286382,0.1648688664920135,3
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50_95,cyclist,0.026165054740922733,0.001761569584863157,0.0241658820042874,0.027489615999248,3
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_50_95,pedestrian,0.061122245787117925,0.0034552148054144494,0.0575023725523756,0.0643850752686922,3
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_75,car,0.14246602630058855,0.003868846111818564,0.1382244956291617,0.145801301170823,3
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_75,cyclist,0.017270310053056865,0.0017642675317448792,0.015921396842081,0.0192668728515226,3
ADD,large,FasterRCNN,synthetic_only,0,100,real_internal,BDD,AP_75,pedestrian,0.03903068800992307,0.0014356430767017612,0.0379419207181265,0.0406576659389751,3
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50,car,0.5792128411952718,0.00103891063870062,0.5781190269725929,0.5801863782984125,3
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50,cyclist,0.3486894166421013,0.0022621875924354125,0.3464080996539389,0.3509319768119276,3
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50,pedestrian,0.347362170772531,0.00032398580489112646,0.3470238917542311,0.3476696659143978,3
ADD,large,FasterRCNN,synthetic_only,0,100,synthetic_internal,SYNTHIA,AP_50_95,car,0.35862394508906853,0.0008610817630950418,0.3580774979274115,0.359616549255799,3
